Date,RWD_MPU_Index
2019-03-01,45.04120774728585
2019-04-01,44.494772277581816
2019-05-01,43.46353328850521
2019-06-01,42.359046495626
2019-07-01,41.06020804419356
2019-08-01,40.91946235192978
2019-09-01,40.63070991800716
2019-10-01,37.32001446999124
2019-11-01,36.02714128258332
2019-12-01,32.739660497208185
2020-01-01,33.668719665749904
2020-02-01,35.15115561323266
2020-03-01,43.652299813751945
2020-04-01,37.63325638860033
2020-05-01,34.18995003622783
2020-06-01,33.93004430127394
2020-07-01,33.89388397344935
2020-08-01,33.60898639137668
2020-09-01,31.751751041290284
2020-10-01,32.83230323278251
2020-11-01,33.58490870092757
2020-12-01,33.025807593315434
2021-01-01,34.24842735046694
2021-02-01,35.80749717735686
2021-03-01,39.256459428668045
2021-04-01,41.128733787683274
2021-05-01,40.44977580678764
2021-06-01,40.93645255763214
2021-07-01,39.91896213272569
2021-08-01,39.842863023501444
2021-09-01,40.7886655101359
2021-10-01,41.84399555126664
2021-11-01,45.20438491957591
2021-12-01,45.38448944587365
2022-01-01,50.21157077348599
2022-02-01,59.63789962632906
2022-03-01,106.27052495725368
2022-04-01,82.3570755574155
2022-05-01,70.18822152471198
2022-06-01,56.687683267297864
2022-07-01,55.252599086620705
2022-08-01,55.05608619922485
2022-09-01,54.48046399719712
2022-10-01,56.131932810631184
2022-11-01,26.54851751867568
2022-12-01,48.81686376185239
2023-01-01,46.958342296150555
2023-02-01,46.79069295079459
2023-03-01,45.92943080025983
2023-04-01,43.34227117750881
2023-05-01,42.48506315288607
2023-06-01,42.13098831385639
2023-07-01,45.98116843549482
2023-08-01,54.5197464619632
2023-09-01,61.675648626186614
2023-10-01,66.67150456856757
2023-11-01,58.28395882354299
2023-12-01,59.481973108526084
2024-01-01,56.535436391413555
2024-02-01,56.87413448881824
2024-03-01,58.581547096914306
2024-04-01,58.56081684323881
2024-05-01,63.49789750306998
2024-06-01,66.97516197704195
2024-07-01,66.40611871253014
2024-08-01,58.01098233720098
2024-09-01,57.79638503530797
2024-10-01,65.50257479887215
2024-11-01,73.75410381957448
2024-12-01,73.26268103865145
2025-01-01,71.3766457375202
2025-02-01,62.80415296092085
2025-03-01,57.88524186764449
2025-04-01,58.5363771784928
2025-05-01,57.708040624455734
2025-06-01,54.55319648526422
2025-07-01,56.87569867266723
2025-08-01,59.34620515922321
2025-09-01,59.130151392183144
2025-10-01,62.42690138495428
2025-11-01,63.4047445625944
2025-12-01,62.36971235908879
2026-01-01,62.089339552551245
2026-02-01,53.90948654955153
2026-03-01,49.07105266357643
