,PROM_mom,PROM_SA,PROM_DEVIATION,CPI_SA,MIACR,CPI,MIACR_LAG,MIACR_LAG_month,MIACR_month,CPI_SA_minus_goal,RUB,RATE,CPI_LAG,dummy1,dummy2,MIACR_diff,OUTPUT_GAP,CPI_2014_2020,RUB_2010_2014,CPI_SA_corr,RATE_LAG,UNEMP,USD_LOG
2010-03-01,10.900000000000006,0.9616991732226144,0.645446039971814,0.2349357479096643,3.54,6.462246901794377,3.83,0.0031369733958956,0.0029031915789923,-0.0009506425209033,-0.0240252692343081,8.5,7.1816578914914775,0,1,-0.29,8.573724223475503,-0.33,-0.0240252692343081,2.819228974915972,8.75,8.5,3.588366512067884
2010-04-01,-4.700000000000003,0.7929236778846125,0.4683617823906195,0.3447628348851975,3.28,6.039316136467954,3.54,0.0029031915789923,0.00269308323025,0.0001476283488519,-0.0173233917949287,8.25,6.462246901794377,0,1,-0.2600000000000002,6.389073048483499,-0.33,-0.0173233917949287,4.13715401862237,8.5,8.5,3.5643412428335757
2010-05-01,-1.0999999999999943,0.0955023492132931,-0.2373198320374089,0.6192513801940505,2.75,5.965509314060147,3.28,0.00269308323025,0.00226327964177,0.0028925138019405,0.0071230008633991,8.0,6.039316136467954,0,1,-0.5299999999999998,6.809688027913423,-0.33,0.0071230008633991,7.431016562328605,8.25,8.1,3.547017851038647
2010-06-01,1.5999999999999943,0.9738622705419536,0.6328179319858711,0.5992607588362406,2.55,5.744308946704746,2.75,0.00226327964177,0.0021005613051394,0.0026926075883624,0.0095983002668678,7.75,5.965509314060147,0,1,-0.2000000000000001,5.738487114560133,-0.33,0.0095983002668678,7.191129106034888,8.0,7.2,3.554140851902046
2010-07-01,1.2999999999999972,0.4908767664627018,0.1416545315613036,0.4736337859827073,2.62,5.46058676231036,2.55,0.0021005613051394,0.002157545786668,0.001436337859827,0.0045477594590961,7.75,5.744308946704746,0,1,0.0700000000000002,2.7779153662164906,-0.33,0.0045477594590961,5.683605431792487,7.75,6.7,3.563739152168914
2010-08-01,0.5,-0.6010339270104896,-0.958427610478124,1.122026608438026,2.58,6.040619989503071,2.62,0.002157545786668,0.0021249875904596,0.0079202660843802,-0.0032964942322908,7.75,5.46058676231036,0,1,-0.04,4.83001933462578,-0.33,-0.0032964942322908,13.46431930125631,7.75,6.8,3.56828691162801
2010-09-01,1.0,0.7013262128496509,0.335719878293628,1.0978042162468902,2.63,6.963450232484614,2.58,0.0021249875904596,0.0021656835180154,0.0076780421624689,0.0182055269842278,7.75,6.040619989503071,0,1,0.0499999999999998,3.896652660741912,-0.33,0.0182055269842278,13.173650594962682,7.75,6.7,3.564990417395719
2010-10-01,5.200000000000003,0.1974363527097917,-0.1764049282850548,0.5433734907224114,2.69,7.498267483647036,2.63,0.0021656835180154,0.002214494647833,0.0021337349072241,0.0172908113905427,7.75,6.963450232484614,0,1,0.06,4.679333567509497,-0.33,0.0172908113905427,6.520481888668936,7.75,6.5,3.583195944379947
2010-11-01,-0.5,-0.3515055907634026,-0.7336085202562272,0.719333390197937,3.04,8.055642088208748,2.69,0.002214494647833,0.0024987062733237,0.0038933339019793,0.0128781874777583,7.75,7.498267483647036,0,1,0.3500000000000001,4.67930967699391,-0.33,0.0128781874777583,8.632000682375244,7.75,6.7,3.60048675577049
2010-12-01,7.900000000000006,-1.0038329509032575,-1.394216387319692,0.850762039673458,2.89,8.776658722001196,3.04,0.0024987062733237,0.0023770098189335,0.0052076203967345,-0.0208946541234347,7.75,8.055642088208748,0,1,-0.1499999999999999,4.297503657540552,-0.33,-0.0208946541234347,10.209144476081496,7.75,6.6,3.613364943248248
2011-01-01,-17.299999999999997,0.9857084972319364,0.5870844841359117,1.816648127645948,2.71,9.557915715970712,2.89,0.0023770098189335,0.0022307592150201,0.0148664812764594,-0.0202533299575615,7.75,8.776658722001196,0,1,-0.1800000000000001,3.1345132254339374,-0.33,-0.0202533299575615,21.799777531751374,7.75,7.0,3.5924702891248135
2011-02-01,0.0999999999999943,1.6570371685605991,1.2503681182811086,0.6782076192674779,2.81,9.471016714807943,2.71,0.0022307592150201,0.0023120385290706,0.0034820761926747,-0.0131234095060484,7.75,9.557915715970712,0,1,0.1,2.0906376592045697,-0.33,-0.0131234095060484,8.138491431209735,7.75,7.6,3.572216959167252
2011-03-01,9.700000000000005,-0.2383008267773885,-0.6527045352479606,0.2249357479096734,3.08,9.46013814810669,2.81,0.0023120385290706,0.0025311312339049,-0.0010506425209032,-0.0162652223110728,8.0,9.471016714807943,0,1,0.27,0.3659585628534305,-0.33,-0.0162652223110728,2.699228974916081,7.75,7.4,3.5590935496612035
2011-04-01,-5.700000000000003,-0.2070763221153875,-0.6288763014077192,0.484762834885198,3.22,9.612939218410157,3.08,0.0025311312339049,0.0026445278387947,0.0015476283488519,0.0037622392366931,8.0,9.46013814810669,0,1,0.1400000000000001,2.06041235721069,-0.33,0.0037622392366931,5.817154018622376,8.0,7.0,3.5428283273501306
2011-05-01,-0.5,0.6955023492132875,0.2667178215492907,0.5992513801940544,3.73,9.59112569816769,3.22,0.0026445278387947,0.0030564266642594,0.0026925138019405,-0.0093686374442807,8.0,9.612939218410157,0,1,0.5099999999999998,2.673910049317466,-0.33,-0.0093686374442807,7.191016562328653,8.0,7.1,3.546590566586824
