Date,MPU_Index
2019-03-01,43.78058760356949
2019-04-01,46.0424612179469
2019-05-01,47.01821818974642
2019-06-01,45.55460651692289
2019-07-01,45.116482352104164
2019-08-01,44.97956434787444
2019-09-01,44.161182578582725
2019-10-01,43.058552513463525
2019-11-01,39.967220600561845
2019-12-01,38.30161597786832
2020-01-01,37.621427625974086
2020-02-01,34.69134317094063
2020-03-01,40.89087835759203
2020-04-01,39.46941944168001
2020-05-01,30.51345946329674
2020-06-01,29.684915566225097
2020-07-01,28.627469154123737
2020-08-01,27.811384992994988
2020-09-01,28.459862351721725
2020-10-01,26.675007871434225
2020-11-01,23.97119891649277
2020-12-01,27.70217854406623
2021-01-01,32.22497920322792
2021-02-01,33.085548042262644
2021-03-01,31.187452407460043
2021-04-01,34.108381936945975
2021-05-01,35.31925704715969
2021-06-01,33.86181098213177
2021-07-01,41.26435992190027
2021-08-01,39.76001247924823
2021-09-01,37.20487926468298
2021-10-01,34.18731224476977
2021-11-01,34.14793642893712
2021-12-01,32.065051107623724
2022-01-01,36.63710077831502
2022-02-01,50.772176547623346
2022-03-01,70.64066560932586
2022-04-01,60.41509447789488
2022-05-01,54.978315693789526
2022-06-01,59.457587467124064
2022-07-01,62.10986916114702
2022-08-01,59.922542813330736
2022-09-01,59.619432516219604
2022-10-01,52.24644066575365
2022-11-01,48.79491616767299
2022-12-01,47.21800114089655
2023-01-01,48.978996190021704
2023-02-01,47.53615294161195
2023-03-01,49.2408268378103
2023-04-01,46.67202478259867
2023-05-01,44.65272321882569
2023-06-01,44.76929981408465
2023-07-01,46.80298531360351
2023-08-01,45.044580354982266
2023-09-01,46.98111573451215
2023-10-01,43.51868265175677
2023-11-01,50.479091803996056
2023-12-01,54.62539322590111
2024-01-01,51.72644376992609
2024-02-01,54.10989510638166
2024-03-01,56.00434765905918
2024-04-01,57.16270170238075
2024-05-01,58.43385728859887
2024-06-01,61.32213627107144
2024-07-01,64.70913482405265
2024-08-01,70.41036112343056
2024-09-01,75.965130704634
2024-10-01,70.82319143743857
2024-11-01,67.76664602473436
2024-12-01,79.80212618229731
2025-01-01,78.12473481398266
2025-02-01,77.83052784349337
2025-03-01,77.99037444398773
2025-04-01,78.44538438283016
2025-05-01,80.66148304751394
2025-06-01,77.3345541211726
2025-07-01,68.14105223140224
2025-08-01,62.80485503699502
2025-09-01,62.606499438254694
2025-10-01,62.31587942571577
2025-11-01,58.4568496027972
2025-12-01,48.910623976235335
2026-01-01,49.29902558817886
2026-02-01,57.902114737423986
2026-03-01,76.3100348856798
